"","GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"Mecp2","Mecp2",0.0335209138446181,0.0641110516243796,0.348490789394639,0.730797266895014,0.769960114908216,-7.48860376354658,"No change"
"Prkcd","Prkcd",-0.058226329771576,0.334458905994643,-0.342672074778434,0.73511018366609,0.773943684096755,-7.49068927909657,"No change"
"Rab7","Rab7",0.0172103333068261,5.86403959142931,0.318701027014955,0.752970837392602,0.789107471313929,-7.4989142806883,"No change"
"Uvrag","Uvrag",-0.0282407751246962,2.49258826775176,-0.316326725227652,0.754747827913605,0.790684965714352,-7.4996968138029,"No change"
"Cygb","Cygb",-0.0530444562175609,1.09499680441869,-0.316065336445719,0.754943543307591,0.790818819238327,-7.49978260920247,"No change"
"Hsd17b12","Hsd17b12",-0.0256677302494861,6.00639576619588,-0.312258293680642,0.757795975910509,0.793446333767194,-7.50102422459937,"No change"
"Anxa1","Anxa1",0.0969969330269928,0.384795181581314,0.311505856559631,0.758360159822832,0.793897634482636,-7.50126785690074,"No change"
"Tex2","Tex2",-0.0334621608537296,4.56378255123374,-0.302342369566239,0.765241981747374,0.79995072979681,-7.5041881490857,"No change"
"Pip4k2b","Pip4k2b",-0.0331989770182006,1.81605361029005,-0.281706810248569,0.7808113526457,0.814032903389762,-7.51044772802412,"No change"
"Sphk2","Sphk2",0.0646539406225526,2.82781738493236,0.273541608961203,0.78699840114854,0.819455572639816,-7.51280330800917,"No change"
"Srebf2","Srebf2",-0.0426719202767005,3.51039406872253,-0.26349929930466,0.794627525962124,0.826323866529426,-7.51560604858772,"No change"
"Sf1","Sf1",0.0278578964665663,3.45252801770054,0.258911687439823,0.798119782791082,0.829477288320868,-7.51685176171072,"No change"
"Tmem68","Tmem68",0.0257556040297551,1.16271800572634,0.251251590686808,0.803960535279888,0.834653168327769,-7.51888329980113,"No change"
"Pitpnm2","Pitpnm2",-0.0345939159084582,1.05694080892955,-0.243960211944308,0.809531047241033,0.839388138872016,-7.52076069910039,"No change"
"Dpm2","Dpm2",-0.0281593414414867,2.52403909707066,-0.22669423931789,0.822762726901731,0.850456072682882,-7.52498704981604,"No change"
"Atg9a","Atg9a",0.0238949490623903,3.59215098527254,0.222299452202468,0.826139444441455,0.853435134424459,-7.52601352982111,"No change"
"Mtmr11","Mtmr11",0.0701572576321703,-0.282341005914685,0.210119997352807,0.8355152771451,0.861266700087841,-7.52875369823679,"No change"
